classification,Coin,Closed PnL
Extreme Fear,@10,-0.063484
Extreme Fear,@107,-136085.3683
Extreme Fear,@13,-0.12379
Extreme Fear,@142,1257.8761650000001
Extreme Fear,@16,-0.060429
Extreme Fear,@26,-0.25801799999999997
Extreme Fear,@29,-0.078374
Extreme Fear,@35,67.028127
Extreme Fear,@38,33.271993
Extreme Fear,@39,12.238556
Extreme Fear,@4,-1104.856765
Extreme Fear,@40,16.748319
Extreme Fear,@41,36.73844
Extreme Fear,@47,50.313458
Extreme Fear,@49,-40.712216999999995
Extreme Fear,@51,0.0
Extreme Fear,@8,51.56325
Extreme Fear,AAVE,0.0
Extreme Fear,ADA,-31317.986797999998
Extreme Fear,AI,0.0
Extreme Fear,AI16Z,1782.014616
Extreme Fear,AIXBT,0.0
Extreme Fear,ANIME,12.67558
Extreme Fear,APE,7.764197
Extreme Fear,APT,0.0
Extreme Fear,ARB,148.265679
Extreme Fear,AVAX,433.644636
Extreme Fear,BERA,12090.904233
Extreme Fear,BNB,503.31943
Extreme Fear,BTC,3056.840312999999
Extreme Fear,DOGE,0.0
Extreme Fear,DYDX,0.0
Extreme Fear,ENA,2286.628954
Extreme Fear,ETH,274320.23069
Extreme Fear,FARTCOIN,-138014.106207
Extreme Fear,FTT,854.609006
Extreme Fear,GMT,4.634472
Extreme Fear,GMX,622.41079
Extreme Fear,GOAT,44.71729
Extreme Fear,GRASS,1036.457046
Extreme Fear,GRIFFAIN,-378.092427
Extreme Fear,HYPE,482083.808909
Extreme Fear,IO,0.07364
Extreme Fear,IP,311.5344
Extreme Fear,JELLY,3218.978582
Extreme Fear,JTO,14.451904
Extreme Fear,JUP,17.45184
Extreme Fear,KAITO,5172.473377
Extreme Fear,LDO,0.0
Extreme Fear,LINK,0.0
Extreme Fear,LTC,0.0
Extreme Fear,MELANIA,97379.167198
Extreme Fear,MKR,47.91373
Extreme Fear,MORPHO,25.30602
Extreme Fear,OM,0.0
Extreme Fear,ONDO,0.0
Extreme Fear,OP,18.778959999999998
Extreme Fear,PAXG,588.9560720000001
Extreme Fear,PENDLE,-1129.6645899999999
Extreme Fear,PENGU,0.0
Extreme Fear,PNUT,1855.649224
Extreme Fear,POPCAT,0.0
Extreme Fear,PURR,167.09084399999998
Extreme Fear,PURR/USDC,-4986.899736
Extreme Fear,RENDER,4.36749
Extreme Fear,RUNE,3843.26048
Extreme Fear,S,-11474.72
Extreme Fear,SAND,6.80157
Extreme Fear,SOL,105179.504312
Extreme Fear,STX,0.0
Extreme Fear,SUI,44788.991651
Extreme Fear,TAO,0.0
Extreme Fear,TNSR,0.0
Extreme Fear,TRUMP,31638.043139999998
